               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.044091,           0.0077701,            0.071291,             0.51511,             0.31158,             0.13132,            0.087669,            0.039926,           0.0065257,            0.065633,           0.0068228,           0.0068228,            0.036623
                  37,            0.045196,           0.0077823,            0.069043,             0.49073,             0.35397,             0.13159,            0.085629,            0.036176,           0.0068056,            0.065085,           0.0069962,           0.0069962,            0.034896
                  38,            0.045809,           0.0079427,            0.068167,             0.50895,             0.28887,             0.12068,             0.07286,            0.036394,           0.0065942,            0.064036,           0.0071687,           0.0071687,            0.033169
                  39,            0.045494,           0.0076347,            0.066904,             0.52252,             0.33555,              0.1433,            0.089625,            0.039543,           0.0063059,            0.065698,           0.0073403,           0.0073403,             0.03144
                  40,            0.046622,           0.0075539,            0.068943,             0.65525,             0.20056,              0.1394,            0.071157,            0.040086,           0.0067608,            0.069103,            0.007511,            0.007511,            0.029711
                  41,            0.045763,            0.007637,            0.069568,              0.4514,             0.35286,             0.13048,            0.082205,            0.034768,            0.006655,            0.065832,           0.0076806,           0.0076806,            0.027981
                  42,            0.042111,           0.0074108,            0.068701,              0.5034,             0.35104,             0.15364,              0.0932,            0.034377,           0.0065455,            0.064905,           0.0078494,           0.0078494,            0.026249
                  43,            0.042366,           0.0074965,            0.066549,             0.69987,             0.18222,             0.14809,            0.098512,            0.032516,           0.0065667,            0.063173,           0.0080171,           0.0080171,            0.024517
                  44,            0.040143,           0.0068618,             0.06474,             0.47187,             0.36573,             0.14946,            0.083191,            0.038885,           0.0060173,            0.062271,           0.0081838,           0.0081838,            0.022784
                  45,             0.04095,           0.0072444,            0.065642,             0.46961,             0.38122,             0.15698,             0.10747,            0.033192,           0.0059918,            0.061925,           0.0083494,           0.0083494,            0.021049
                  46,            0.044357,           0.0070501,             0.06503,             0.52924,             0.38847,             0.17343,              0.1196,            0.032279,            0.006101,             0.06095,            0.008514,            0.008514,            0.019314
                  47,            0.038053,           0.0067706,            0.062067,             0.67039,             0.22441,             0.15489,            0.098686,            0.033568,           0.0059021,            0.060246,           0.0086775,           0.0086775,            0.017577
                  48,            0.038723,           0.0072115,            0.062284,             0.51509,             0.34835,             0.16521,             0.10915,            0.030877,           0.0057967,            0.059392,           0.0088399,           0.0088399,             0.01584
                  49,            0.038987,           0.0067506,            0.063763,             0.47203,             0.42227,             0.16485,             0.11373,            0.032662,           0.0057193,            0.059059,           0.0090011,           0.0090011,            0.014101
                  50,            0.041242,           0.0067007,            0.060605,             0.37789,             0.51072,             0.17475,             0.12522,            0.035943,           0.0056341,            0.058638,           0.0091613,           0.0091613,            0.012361
                  51,            0.040955,           0.0065535,            0.061781,             0.72455,             0.20963,              0.1626,             0.10223,            0.035619,           0.0059258,            0.059239,           0.0093202,           0.0093202,             0.01062
                  52,             0.03805,           0.0066442,              0.0625,             0.42286,               0.488,             0.17196,             0.11525,            0.033102,           0.0056829,            0.059328,           0.0094215,           0.0094215,           0.0094215
                  53,            0.038433,           0.0070129,            0.059691,             0.48605,             0.40394,             0.17564,             0.12196,            0.031358,           0.0054107,            0.058323,           0.0094215,           0.0094215,           0.0094215
                  54,            0.039993,           0.0068758,            0.061773,             0.48256,             0.37814,             0.17453,             0.12074,            0.032082,           0.0055235,            0.058826,           0.0093996,           0.0093996,           0.0093996
                  55,            0.037419,           0.0066331,            0.059783,             0.47443,             0.42609,              0.1759,             0.12144,               0.032,           0.0057624,            0.058418,           0.0093773,           0.0093773,           0.0093773
                  56,            0.038373,           0.0066629,            0.062126,             0.51182,             0.40216,             0.17363,              0.1105,             0.03212,           0.0060843,            0.057812,           0.0093547,           0.0093547,           0.0093547
                  57,            0.035591,           0.0066605,             0.06064,             0.57541,              0.3697,             0.18917,             0.13787,            0.030074,           0.0058565,            0.058085,           0.0093317,           0.0093317,           0.0093317
                  58,            0.035722,           0.0068676,            0.060179,             0.43057,              0.4673,             0.19074,              0.1281,            0.030524,           0.0055066,            0.057496,           0.0093083,           0.0093083,           0.0093083
                  59,            0.037341,           0.0065041,             0.05834,             0.46773,             0.45282,             0.18545,             0.12352,            0.035334,           0.0057083,            0.057394,           0.0092846,           0.0092846,           0.0092846
                  60,            0.036713,            0.006587,            0.061243,              0.5071,             0.42169,             0.19068,             0.13593,             0.02807,           0.0056535,            0.056546,           0.0092605,           0.0092605,           0.0092605
                  61,            0.034866,            0.006288,            0.059428,             0.51329,             0.42812,             0.20943,             0.15905,            0.028484,           0.0055051,            0.057538,           0.0092361,           0.0092361,           0.0092361
                  62,            0.032922,           0.0062428,             0.05597,             0.48577,             0.43896,              0.2346,             0.17269,             0.02483,           0.0052582,            0.055649,           0.0092113,           0.0092113,           0.0092113
                  63,            0.033399,           0.0063772,            0.057786,             0.50606,             0.45395,             0.25194,             0.19518,            0.025276,           0.0052145,            0.055216,           0.0091861,           0.0091861,           0.0091861
                  64,            0.032483,           0.0062579,            0.056947,             0.37148,             0.53616,             0.25048,             0.17593,            0.026685,           0.0052337,            0.054368,           0.0091606,           0.0091606,           0.0091606
