Class,Precision,Recall
RedRoundSign,95.05703422053232,86.80555555555556
pg,98.46153846153847,77.10843373493977
pn,100.0,93.33333333333333
pne,75.75757575757575,86.20689655172413
ps,85.71428571428571,37.5
