               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.010903,           0.0028319,            0.011819,             0.58239,             0.55564,             0.56601,             0.48567,           0.0074277,           0.0021005,            0.012992,           0.0016605,           0.0016605,            0.017511
                  36,            0.010642,           0.0025006,            0.011993,             0.57448,             0.55111,             0.57006,             0.48305,            0.007715,           0.0020603,            0.013139,           0.0016788,           0.0016788,            0.016579
                  37,            0.010765,           0.0026235,            0.011961,             0.57621,             0.58716,             0.57805,             0.49415,           0.0073967,           0.0020418,            0.012672,           0.0016952,           0.0016952,            0.015645
                  38,            0.010787,           0.0024402,            0.011196,             0.52639,              0.5844,              0.5674,             0.48975,           0.0073776,            0.002008,             0.01282,           0.0017096,           0.0017096,             0.01471
                  39,            0.010717,           0.0023426,            0.011896,             0.58481,             0.57614,             0.57461,             0.48759,           0.0072807,           0.0019803,            0.012842,           0.0017221,           0.0017221,            0.013772
                  40,            0.010443,           0.0024673,            0.011066,             0.57587,             0.59748,             0.59593,             0.50569,           0.0075399,           0.0019994,            0.012618,           0.0017327,           0.0017327,            0.012833
                  41,            0.010558,           0.0025676,            0.011461,             0.57321,              0.5581,             0.57805,             0.49653,           0.0073812,           0.0019921,            0.012919,           0.0017413,           0.0017413,            0.011891
                  42,            0.010263,           0.0022412,             0.01134,             0.54458,             0.56785,             0.57129,             0.48782,            0.007362,           0.0019658,            0.012911,            0.001748,            0.001748,            0.010948
                  43,            0.010213,           0.0023862,            0.011013,             0.57252,             0.56031,             0.57752,              0.4966,           0.0074006,           0.0019606,            0.012707,           0.0017528,           0.0017528,            0.010003
                  44,            0.010788,           0.0023781,            0.011059,             0.54962,             0.57664,             0.57962,             0.49719,           0.0070397,           0.0019289,             0.01235,           0.0017557,           0.0017557,           0.0090557
                  45,            0.010662,           0.0023996,            0.010954,             0.58491,             0.59018,             0.58779,             0.50912,           0.0073018,           0.0019202,            0.012307,           0.0017567,           0.0017567,           0.0081067
                  46,            0.010592,           0.0023151,            0.010993,             0.59155,             0.57174,             0.58407,             0.50576,           0.0072433,           0.0019276,             0.01265,           0.0017559,           0.0017559,           0.0071559
                  47,            0.010694,           0.0024848,            0.011106,             0.58859,             0.55727,             0.57807,             0.49742,           0.0074092,           0.0019289,             0.01272,           0.0017532,           0.0017532,           0.0062032
                  48,           0.0099949,           0.0024487,             0.01101,             0.60398,             0.53692,             0.56141,             0.48671,           0.0071986,            0.001896,             0.01327,           0.0017488,           0.0017488,           0.0052488
                  49,           0.0094964,           0.0022058,            0.010819,             0.59696,             0.57968,             0.58879,             0.50443,           0.0074017,            0.001864,            0.012747,           0.0017426,           0.0017426,           0.0042926
                  50,            0.010137,           0.0022114,            0.010188,             0.58187,             0.59336,             0.58068,             0.50354,           0.0073139,           0.0018351,            0.012661,           0.0017347,           0.0017347,           0.0033347
                  51,            0.010564,           0.0024539,            0.010943,              0.5838,             0.60739,             0.58994,             0.50329,           0.0074978,           0.0018382,            0.012335,           0.0017251,           0.0017251,           0.0023751
                  52,            0.010313,           0.0022363,             0.01149,             0.57633,               0.622,             0.60372,             0.52281,           0.0071048,           0.0018306,            0.012378,           0.0017036,           0.0017036,           0.0017036
                  53,            0.010127,           0.0023099,             0.01073,             0.60259,             0.56463,             0.60524,             0.52352,           0.0071658,           0.0018858,            0.012514,           0.0017036,           0.0017036,           0.0017036
                  54,             0.01035,           0.0022374,            0.011042,             0.58898,             0.58954,             0.60823,             0.52409,           0.0070528,            0.001836,            0.012415,           0.0016595,           0.0016595,           0.0016595
