               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.048645,           0.0080564,            0.071614,             0.54608,              0.3051,             0.13582,            0.086676,            0.039227,           0.0069277,             0.06648,           0.0068228,           0.0068228,            0.036623
                  37,            0.047634,           0.0078161,            0.069198,             0.41932,             0.32201,             0.11779,            0.071887,            0.038027,           0.0069624,            0.065552,           0.0069962,           0.0069962,            0.034896
                  38,            0.042342,           0.0079258,            0.068553,             0.68372,              0.1721,             0.13563,            0.082337,            0.044799,           0.0063233,            0.064657,           0.0071687,           0.0071687,            0.033169
                  39,            0.043533,           0.0076276,            0.067234,             0.19995,             0.49748,             0.15829,            0.097048,            0.035355,           0.0064024,            0.064237,           0.0073403,           0.0073403,             0.03144
                  40,            0.045668,            0.007371,            0.066695,             0.39788,             0.38666,             0.13906,            0.072914,            0.038943,           0.0065438,             0.06364,            0.007511,            0.007511,            0.029711
                  41,            0.043745,           0.0075576,            0.066443,             0.69867,             0.19569,             0.14226,            0.087773,             0.03508,           0.0062481,            0.063271,           0.0076806,           0.0076806,            0.027981
                  42,            0.043602,           0.0072718,            0.066589,             0.67084,             0.21302,             0.14646,            0.085226,            0.037772,            0.006339,            0.061899,           0.0078494,           0.0078494,            0.026249
                  43,             0.04089,           0.0074991,            0.064794,             0.69053,             0.19559,             0.15954,             0.10864,            0.033334,           0.0062538,            0.061038,           0.0080171,           0.0080171,            0.024517
                  44,            0.041417,           0.0068563,            0.063521,             0.73269,             0.17049,             0.14643,            0.084319,            0.035211,           0.0061062,            0.061098,           0.0081838,           0.0081838,            0.022784
                  45,            0.040787,           0.0072491,            0.064213,              0.4725,             0.36567,              0.1617,             0.10209,            0.034378,           0.0060629,            0.060115,           0.0083494,           0.0083494,            0.021049
                  46,             0.04472,            0.007108,            0.064513,             0.46849,             0.36376,             0.15798,            0.094906,            0.035566,            0.006086,            0.061158,            0.008514,            0.008514,            0.019314
                  47,            0.041531,           0.0069122,             0.06165,             0.37524,             0.44618,             0.14902,            0.087037,            0.037357,           0.0060311,            0.059265,           0.0086775,           0.0086775,            0.017577
                  48,            0.040031,           0.0072667,            0.061757,             0.50595,             0.33379,             0.15323,            0.090112,            0.035835,           0.0061857,            0.058641,           0.0088399,           0.0088399,             0.01584
                  49,            0.040061,           0.0070748,             0.06374,             0.44964,              0.4016,             0.15938,             0.10727,            0.034276,           0.0059412,            0.057611,           0.0090011,           0.0090011,            0.014101
                  50,            0.042559,           0.0067622,            0.059944,             0.47819,             0.40214,             0.16462,             0.10389,            0.037204,           0.0058536,            0.057883,           0.0091613,           0.0091613,            0.012361
                  51,            0.041183,           0.0066875,            0.060909,             0.37249,              0.4516,             0.15941,             0.10452,            0.036738,           0.0057952,            0.059849,           0.0093202,           0.0093202,             0.01062
                  52,            0.040746,           0.0068783,            0.062603,             0.47847,             0.42256,             0.16525,             0.10905,            0.035433,           0.0058822,            0.059862,           0.0094215,           0.0094215,           0.0094215
                  53,            0.040548,           0.0071015,            0.058756,             0.55343,             0.38359,             0.15905,             0.10221,            0.032838,           0.0061435,            0.060093,           0.0094215,           0.0094215,           0.0094215
                  54,            0.040489,           0.0070679,            0.060885,             0.52912,             0.39873,             0.17006,             0.11564,            0.032159,           0.0060056,            0.057792,           0.0093996,           0.0093996,           0.0093996
                  55,            0.037085,            0.006584,            0.058505,             0.47207,             0.45288,             0.18742,             0.12863,            0.031758,           0.0057189,            0.056006,           0.0093773,           0.0093773,           0.0093773
                  56,            0.037396,           0.0067395,            0.060191,             0.46889,             0.46747,             0.19724,             0.12694,            0.033423,           0.0057418,            0.055506,           0.0093547,           0.0093547,           0.0093547
                  57,            0.037838,           0.0067595,            0.060086,             0.49511,             0.42438,             0.20016,             0.13831,            0.030028,           0.0058876,              0.0563,           0.0093317,           0.0093317,           0.0093317
                  58,            0.036856,           0.0070569,            0.059693,             0.44658,             0.46017,             0.20369,             0.14384,            0.031291,           0.0060213,            0.055831,           0.0093083,           0.0093083,           0.0093083
                  59,            0.040677,            0.006464,            0.057491,             0.44053,             0.50119,             0.19241,             0.12795,            0.035082,           0.0056775,            0.055107,           0.0092846,           0.0092846,           0.0092846
                  60,            0.035764,           0.0065077,            0.060564,             0.43454,             0.51447,             0.19905,             0.11931,            0.032217,           0.0058168,            0.054468,           0.0092605,           0.0092605,           0.0092605
                  61,            0.035078,           0.0063572,            0.058937,              0.4726,             0.50131,             0.21538,             0.16006,            0.029583,           0.0053869,            0.053889,           0.0092361,           0.0092361,           0.0092361
                  62,            0.036143,           0.0063498,             0.05439,             0.45951,             0.50204,             0.21592,             0.14103,            0.030431,           0.0053705,             0.05347,           0.0092113,           0.0092113,           0.0092113
                  63,            0.034387,           0.0065464,            0.056665,             0.50339,             0.49381,             0.24738,             0.18352,            0.025079,           0.0053444,            0.053477,           0.0091861,           0.0091861,           0.0091861
                  64,            0.031702,           0.0063635,            0.055505,             0.52275,             0.41204,             0.22577,             0.16145,            0.025443,           0.0051874,            0.053148,           0.0091606,           0.0091606,           0.0091606
                  65,            0.030917,           0.0060034,             0.05528,             0.51797,             0.48489,             0.23974,             0.17207,            0.025685,           0.0052055,            0.052335,           0.0091348,           0.0091348,           0.0091348
                  66,            0.032576,           0.0062154,            0.053801,             0.52588,             0.46981,             0.24631,             0.16054,            0.026717,           0.0049455,            0.052608,           0.0091086,           0.0091086,           0.0091086
                  67,            0.035212,           0.0056845,            0.054156,             0.49829,             0.48492,             0.23035,               0.164,            0.028387,           0.0049201,            0.052376,           0.0090821,           0.0090821,           0.0090821
                  68,            0.032349,           0.0059641,            0.055157,               0.453,             0.50249,             0.24451,             0.17592,            0.025328,           0.0049921,            0.052145,           0.0090552,           0.0090552,           0.0090552
                  69,            0.033334,           0.0061067,            0.055296,             0.49731,             0.46181,             0.25154,              0.1828,            0.027685,           0.0050023,            0.051918,            0.009028,            0.009028,            0.009028
                  70,            0.031465,           0.0063402,             0.05553,             0.69419,             0.34849,             0.26325,             0.19614,            0.025356,           0.0048857,            0.051961,           0.0090004,           0.0090004,           0.0090004
                  71,            0.030068,           0.0057694,             0.05464,             0.55619,             0.39338,             0.26623,             0.20012,            0.025101,           0.0049005,            0.051485,           0.0089726,           0.0089726,           0.0089726
                  72,              0.0309,             0.00558,            0.053661,              0.6869,             0.33067,             0.26457,             0.18519,             0.02795,           0.0056124,            0.053555,           0.0089444,           0.0089444,           0.0089444
                  73,            0.031712,           0.0060059,            0.055608,             0.45936,             0.50564,             0.25733,             0.19022,            0.025871,           0.0048339,            0.053634,           0.0089159,           0.0089159,           0.0089159
                  74,            0.035789,           0.0060355,            0.053016,             0.42773,             0.46603,             0.25707,             0.18503,            0.032658,           0.0055006,            0.052464,            0.008887,            0.008887,            0.008887
                  75,             0.03654,           0.0058687,            0.053706,             0.49699,             0.47979,             0.26919,             0.20579,            0.025792,           0.0051374,            0.051691,           0.0088579,           0.0088579,           0.0088579
                  76,            0.031662,           0.0060811,            0.053096,              0.3679,             0.54084,             0.27163,              0.1955,            0.025858,           0.0052061,            0.050747,           0.0088284,           0.0088284,           0.0088284
                  77,            0.030081,            0.005833,            0.052397,             0.64819,             0.32745,              0.2952,             0.22543,            0.024593,           0.0048866,            0.050356,           0.0087987,           0.0087987,           0.0087987
                  78,            0.030959,           0.0062375,            0.052051,             0.71929,              0.2932,             0.30802,             0.22105,            0.026561,           0.0050066,            0.049365,           0.0087686,           0.0087686,           0.0087686
