               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.045018,           0.0080273,            0.069599,             0.74033,             0.16721,             0.13536,            0.087929,            0.034232,           0.0070318,            0.064277,           0.0068228,           0.0068228,            0.036623
                  37,            0.046554,           0.0077132,            0.067179,             0.67032,             0.16994,             0.13176,            0.082501,            0.039076,           0.0067279,            0.063293,           0.0069962,           0.0069962,            0.034896
                  38,            0.045673,            0.007787,            0.065962,             0.67693,              0.1803,              0.1395,            0.077827,            0.038966,           0.0063466,            0.063227,           0.0071687,           0.0071687,            0.033169
                  39,            0.046909,           0.0075201,            0.065358,             0.69513,             0.18523,              0.1382,            0.084059,            0.034322,           0.0065549,            0.060942,           0.0073403,           0.0073403,             0.03144
                  40,             0.04417,           0.0073382,            0.064892,             0.40376,             0.38479,              0.1432,            0.079577,            0.040595,           0.0062643,            0.061704,            0.007511,            0.007511,            0.029711
                  41,            0.043379,           0.0074284,             0.06624,             0.71473,             0.18472,             0.13889,            0.090597,            0.035021,           0.0064969,            0.061247,           0.0076806,           0.0076806,            0.027981
                  42,            0.042709,           0.0072247,            0.064452,             0.69228,             0.23813,             0.14757,            0.092055,            0.034633,           0.0060748,            0.060238,           0.0078494,           0.0078494,            0.026249
                  43,            0.041826,           0.0072157,            0.063134,             0.73623,             0.21476,             0.14915,            0.097583,            0.032771,           0.0062361,            0.060048,           0.0080171,           0.0080171,            0.024517
                  44,            0.041613,             0.00674,            0.061625,             0.51894,              0.3319,             0.15342,            0.096519,            0.039026,           0.0060092,            0.061005,           0.0081838,           0.0081838,            0.022784
                  45,            0.042667,           0.0071863,            0.063468,             0.55196,             0.33094,             0.15849,             0.10359,             0.03304,           0.0059306,            0.058608,           0.0083494,           0.0083494,            0.021049
                  46,            0.043186,           0.0071383,             0.06281,             0.47764,             0.38385,             0.17019,             0.11311,            0.035831,           0.0057676,             0.05913,            0.008514,            0.008514,            0.019314
                  47,            0.038245,           0.0068149,            0.060402,             0.51001,             0.36701,             0.15924,             0.11309,            0.030824,           0.0058193,             0.05786,           0.0086775,           0.0086775,            0.017577
                  48,            0.038582,           0.0070538,            0.060147,             0.47543,             0.38258,             0.15611,            0.097048,            0.030262,           0.0058576,            0.057752,           0.0088399,           0.0088399,             0.01584
                  49,             0.03986,           0.0066481,            0.061954,             0.49863,             0.40869,             0.16599,             0.10432,            0.032339,           0.0057224,            0.057441,           0.0090011,           0.0090011,            0.014101
                  50,            0.040264,           0.0066859,             0.05845,             0.36468,             0.48098,             0.17179,             0.11823,            0.036365,            0.005584,            0.056727,           0.0091613,           0.0091613,            0.012361
                  51,            0.039893,           0.0064458,            0.060036,             0.38892,             0.45224,             0.17526,             0.12612,            0.036903,           0.0056016,            0.059286,           0.0093202,           0.0093202,             0.01062
                  52,            0.040387,           0.0067716,             0.06118,             0.43198,             0.44928,             0.18058,             0.11119,            0.034602,           0.0057644,            0.056692,           0.0094215,           0.0094215,           0.0094215
                  53,            0.041528,           0.0071886,            0.057794,             0.47669,             0.46627,              0.1903,             0.12565,            0.033779,           0.0056648,            0.057416,           0.0094215,           0.0094215,           0.0094215
                  54,            0.039711,           0.0066258,            0.060024,             0.43637,             0.44482,             0.19012,             0.12042,            0.032437,           0.0056295,            0.056765,           0.0093996,           0.0093996,           0.0093996
                  55,             0.03786,           0.0064288,            0.057134,              0.3953,             0.46146,             0.18927,             0.12781,            0.031858,           0.0054718,            0.055991,           0.0093773,           0.0093773,           0.0093773
                  56,            0.037111,           0.0064351,            0.059435,             0.52201,             0.40788,             0.19453,             0.12881,            0.033395,           0.0053811,            0.055807,           0.0093547,           0.0093547,           0.0093547
                  57,            0.036635,           0.0064849,            0.058344,             0.38119,             0.46937,             0.19468,             0.13329,            0.028642,           0.0057123,            0.055433,           0.0093317,           0.0093317,           0.0093317
                  58,            0.036553,           0.0066936,            0.057899,             0.65047,             0.37279,             0.20868,             0.14977,            0.030556,           0.0057331,            0.055514,           0.0093083,           0.0093083,           0.0093083
                  59,            0.038343,           0.0063944,            0.056054,             0.41156,             0.45381,             0.20342,             0.13918,            0.030122,           0.0056762,             0.05377,           0.0092846,           0.0092846,           0.0092846
                  60,             0.03471,           0.0062606,            0.058702,               0.618,              0.3818,             0.20784,             0.15074,            0.028186,           0.0054027,            0.053957,           0.0092605,           0.0092605,           0.0092605
                  61,            0.032904,           0.0061129,            0.057479,             0.64066,             0.33799,             0.21031,             0.15332,            0.026992,            0.005227,            0.054327,           0.0092361,           0.0092361,           0.0092361
                  62,            0.034669,           0.0063991,            0.053838,             0.51138,             0.41448,             0.21058,             0.15623,            0.028105,           0.0057031,            0.058944,           0.0092113,           0.0092113,           0.0092113
